Loading analysis\params-ks-grand.json ...
Processing 704 samples with 4 workers ...
  271/704: m054_vel6 ... N_FFT=8192  EQ peak=12.6dB range=23.2dB  width=3.264
  272/704: m055_vel0 ... N_FFT=8192  EQ peak=21.9dB range=44.8dB  width=3.741
  273/704: m055_vel2 ... N_FFT=8192  EQ peak=20.5dB range=35.2dB  width=6.194
  274/704: m055_vel1 ... N_FFT=8192  EQ peak=14.7dB range=30.9dB  width=2.194
  275/704: m055_vel3 ... N_FFT=8192  EQ peak=14.9dB range=25.4dB  width=2.675
  276/704: m055_vel5 ... N_FFT=8192  EQ peak=14.9dB range=26.8dB  width=3.443
  277/704: m055_vel4 ... N_FFT=8192  EQ peak=20.4dB range=30.8dB  width=3.107
  278/704: m055_vel6 ... N_FFT=8192  EQ peak=16.4dB range=29.1dB  width=3.669
  279/704: m056_vel1 ... N_FFT=8192  EQ peak=21.7dB range=37.1dB  width=0.509
  280/704: m056_vel0 ... N_FFT=8192  EQ peak=17.9dB range=36.5dB  width=2.061
  281/704: m056_vel2 ... N_FFT=8192  EQ peak=20.9dB range=34.4dB  width=2.871
  282/704: m056_vel4 ... N_FFT=8192  EQ peak=22.4dB range=28.6dB  width=1.199
  283/704: m056_vel6 ... N_FFT=8192  EQ peak=27.6dB range=30.5dB  width=1.239
  284/704: m056_vel3 ... N_FFT=8192  EQ peak=24.3dB range=33.1dB  width=1.120
  285/704: m056_vel7 ... N_FFT=8192  EQ peak=6.8dB range=16.4dB  width=0.742
  286/704: m057_vel0 ... N_FFT=8192  EQ peak=10.1dB range=31.2dB  width=0.581
  287/704: m057_vel2 ... N_FFT=8192  EQ peak=3.8dB range=22.8dB  width=1.052
  288/704: m057_vel1 ... N_FFT=8192  EQ peak=4.7dB range=23.1dB  width=1.042
